Ticker,Tz
MMM,America/New_York
AOS,America/New_York
ABT,America/New_York
ABBV,America/New_York
ABMD,America/New_York
ACN,America/New_York
ATVI,America/New_York
ADM,America/New_York
ADBE,America/New_York
ADP,America/New_York
AAP,America/New_York
AES,America/New_York
AFL,America/New_York
A,America/New_York
APD,America/New_York
AKAM,America/New_York
ALK,America/New_York
ALB,America/New_York
ARE,America/New_York
ALGN,America/New_York
ALLE,America/New_York
LNT,America/New_York
ALL,America/New_York
GOOGL,America/New_York
GOOG,America/New_York
MO,America/New_York
AMZN,America/New_York
AMCR,America/New_York
AMD,America/New_York
AEE,America/New_York
AAL,America/New_York
AEP,America/New_York
AXP,America/New_York
AIG,America/New_York
AMT,America/New_York
AWK,America/New_York
AMP,America/New_York
ABC,America/New_York
AME,America/New_York
AMGN,America/New_York
APH,America/New_York
ADI,America/New_York
ANSS,America/New_York
AON,America/New_York
APA,America/New_York
AAPL,America/New_York
AMAT,America/New_York
APTV,America/New_York
ACGL,America/New_York
ANET,America/New_York
AJG,America/New_York
AIZ,America/New_York
T,America/New_York
ATO,America/New_York
ADSK,America/New_York
AZO,America/New_York
AVB,America/New_York
AVY,America/New_York
BKR,America/New_York
BALL,America/New_York
BAC,America/New_York
BBWI,America/New_York
BAX,America/New_York
BDX,America/New_York
WRB,America/New_York
BBY,America/New_York
BIO,America/New_York
TECH,America/New_York
BIIB,America/New_York
BLK,America/New_York
BK,America/New_York
BA,America/New_York
BKNG,America/New_York
BWA,America/New_York
BXP,America/New_York
BSX,America/New_York
BMY,America/New_York
AVGO,America/New_York
BR,America/New_York
BRO,America/New_York
BF.B,America/New_York
CHRW,America/New_York
CDNS,America/New_York
CZR,America/New_York
CPT,America/New_York
CPB,America/New_York
COF,America/New_York
CAH,America/New_York
KMX,America/New_York
CCL,America/New_York
CARR,America/New_York
CTLT,America/New_York
CAT,America/New_York
CBOE,America/New_York
CBRE,America/New_York
CDW,America/New_York
CE,America/New_York
CNC,America/New_York
CNP,America/New_York
CDAY,America/New_York
CF,America/New_York
CRL,America/New_York
SCHW,America/New_York
CHTR,America/New_York
CVX,America/New_York
CMG,America/New_York
CB,America/New_York
CHD,America/New_York
CI,America/New_York
CINF,America/New_York
CTAS,America/New_York
CSCO,America/New_York
C,America/New_York
CFG,America/New_York
CLX,America/New_York
CME,America/New_York
CMS,America/New_York
KO,America/New_York
CTSH,America/New_York
CL,America/New_York
CMCSA,America/New_York
CMA,America/New_York
CAG,America/New_York
COP,America/New_York
ED,America/New_York
STZ,America/New_York
CEG,America/New_York
COO,America/New_York
CPRT,America/New_York
GLW,America/New_York
CTVA,America/New_York
CSGP,America/New_York
COST,America/New_York
CTRA,America/New_York
CCI,America/New_York
CSX,America/New_York
CMI,America/New_York
CVS,America/New_York
DHI,America/New_York
DHR,America/New_York
DRI,America/New_York
DVA,America/New_York
DE,America/New_York
DAL,America/New_York
XRAY,America/New_York
DVN,America/New_York
DXCM,America/New_York
FANG,America/New_York
DLR,America/New_York
DFS,America/New_York
DISH,America/New_York
DIS,America/New_York
DG,America/New_York
DLTR,America/New_York
D,America/New_York
DPZ,America/New_York
DOV,America/New_York
DOW,America/New_York
DTE,America/New_York
DUK,America/New_York
DD,America/New_York
DXC,America/New_York
EMN,America/New_York
ETN,America/New_York
EBAY,America/New_York
ECL,America/New_York
EIX,America/New_York
EW,America/New_York
EA,America/New_York
ELV,America/New_York
LLY,America/New_York
EMR,America/New_York
ENPH,America/New_York
ETR,America/New_York
EOG,America/New_York
EPAM,America/New_York
EQT,America/New_York
EFX,America/New_York
EQIX,America/New_York
EQR,America/New_York
ESS,America/New_York
EL,America/New_York
ETSY,America/New_York
RE,America/New_York
EVRG,America/New_York
ES,America/New_York
EXC,America/New_York
EXPE,America/New_York
EXPD,America/New_York
EXR,America/New_York
XOM,America/New_York
FFIV,America/New_York
FDS,America/New_York
FAST,America/New_York
FRT,America/New_York
FDX,America/New_York
FITB,America/New_York
FRC,America/New_York
FE,America/New_York
FIS,America/New_York
FISV,America/New_York
FLT,America/New_York
FMC,America/New_York
F,America/New_York
FTNT,America/New_York
FTV,America/New_York
FBHS,America/New_York
FOXA,America/New_York
FOX,America/New_York
BEN,America/New_York
FCX,America/New_York
GRMN,America/New_York
IT,America/New_York
GEN,America/New_York
GNRC,America/New_York
GD,America/New_York
GE,America/New_York
GIS,America/New_York
GM,America/New_York
GPC,America/New_York
GILD,America/New_York
GL,America/New_York
GPN,America/New_York
GS,America/New_York
HAL,America/New_York
HIG,America/New_York
HAS,America/New_York
HCA,America/New_York
PEAK,America/New_York
HSIC,America/New_York
HSY,America/New_York
HES,America/New_York
HPE,America/New_York
HLT,America/New_York
HOLX,America/New_York
HD,America/New_York
HON,America/New_York
HRL,America/New_York
HST,America/New_York
HWM,America/New_York
HPQ,America/New_York
HUM,America/New_York
HBAN,America/New_York
HII,America/New_York
IBM,America/New_York
IEX,America/New_York
IDXX,America/New_York
ITW,America/New_York
ILMN,America/New_York
INCY,America/New_York
IR,America/New_York
INTC,America/New_York
ICE,America/New_York
IP,America/New_York
IPG,America/New_York
IFF,America/New_York
INTU,America/New_York
ISRG,America/New_York
IVZ,America/New_York
INVH,America/New_York
IQV,America/New_York
IRM,America/New_York
JBHT,America/New_York
JKHY,America/New_York
J,America/New_York
JNJ,America/New_York
JCI,America/New_York
JPM,America/New_York
JNPR,America/New_York
K,America/New_York
KDP,America/New_York
KEY,America/New_York
KEYS,America/New_York
KMB,America/New_York
KIM,America/New_York
KMI,America/New_York
KLAC,America/New_York
KHC,America/New_York
KR,America/New_York
LHX,America/New_York
LH,America/New_York
LRCX,America/New_York
LW,America/New_York
LVS,America/New_York
LDOS,America/New_York
LEN,America/New_York
LNC,America/New_York
LIN,America/New_York
LYV,America/New_York
LKQ,America/New_York
LMT,America/New_York
L,America/New_York
LOW,America/New_York
LUMN,America/New_York
LYB,America/New_York
MTB,America/New_York
MRO,America/New_York
MPC,America/New_York
MKTX,America/New_York
MAR,America/New_York
MMC,America/New_York
MLM,America/New_York
MAS,America/New_York
MA,America/New_York
MTCH,America/New_York
MKC,America/New_York
MCD,America/New_York
MCK,America/New_York
MDT,America/New_York
MRK,America/New_York
META,America/New_York
MET,America/New_York
MTD,America/New_York
MGM,America/New_York
MCHP,America/New_York
MU,America/New_York
MSFT,America/New_York
MAA,America/New_York
MRNA,America/New_York
MHK,America/New_York
MOH,America/New_York
TAP,America/New_York
MDLZ,America/New_York
MPWR,America/New_York
MNST,America/New_York
MCO,America/New_York
MS,America/New_York
MOS,America/New_York
MSI,America/New_York
MSCI,America/New_York
NDAQ,America/New_York
NTAP,America/New_York
NFLX,America/New_York
NWL,America/New_York
NEM,America/New_York
NWSA,America/New_York
NWS,America/New_York
NEE,America/New_York
NKE,America/New_York
NI,America/New_York
NDSN,America/New_York
NSC,America/New_York
NTRS,America/New_York
NOC,America/New_York
NCLH,America/New_York
NRG,America/New_York
NUE,America/New_York
NVDA,America/New_York
NVR,America/New_York
NXPI,America/New_York
ORLY,America/New_York
OXY,America/New_York
ODFL,America/New_York
OMC,America/New_York
ON,America/New_York
OKE,America/New_York
ORCL,America/New_York
OGN,America/New_York
OTIS,America/New_York
PCAR,America/New_York
PKG,America/New_York
PARA,America/New_York
PH,America/New_York
PAYX,America/New_York
PAYC,America/New_York
PYPL,America/New_York
PNR,America/New_York
PEP,America/New_York
PKI,America/New_York
PFE,America/New_York
PCG,America/New_York
PM,America/New_York
PSX,America/New_York
PNW,America/New_York
PXD,America/New_York
PNC,America/New_York
POOL,America/New_York
PPG,America/New_York
PPL,America/New_York
PFG,America/New_York
PG,America/New_York
PGR,America/New_York
PLD,America/New_York
PRU,America/New_York
PEG,America/New_York
PTC,America/New_York
PSA,America/New_York
PHM,America/New_York
QRVO,America/New_York
PWR,America/New_York
QCOM,America/New_York
DGX,America/New_York
RL,America/New_York
RJF,America/New_York
RTX,America/New_York
O,America/New_York
REG,America/New_York
REGN,America/New_York
RF,America/New_York
RSG,America/New_York
RMD,America/New_York
RHI,America/New_York
ROK,America/New_York
ROL,America/New_York
ROP,America/New_York
ROST,America/New_York
RCL,America/New_York
SPGI,America/New_York
CRM,America/New_York
SBAC,America/New_York
SLB,America/New_York
STX,America/New_York
SEE,America/New_York
SRE,America/New_York
NOW,America/New_York
SHW,America/New_York
SBNY,America/New_York
SPG,America/New_York
SWKS,America/New_York
SJM,America/New_York
SNA,America/New_York
SEDG,America/New_York
SO,America/New_York
LUV,America/New_York
SWK,America/New_York
SBUX,America/New_York
STT,America/New_York
STE,America/New_York
SYK,America/New_York
SIVB,America/New_York
SYF,America/New_York
SNPS,America/New_York
SYY,America/New_York
TMUS,America/New_York
TROW,America/New_York
TTWO,America/New_York
TPR,America/New_York
TRGP,America/New_York
TGT,America/New_York
TEL,America/New_York
TDY,America/New_York
TFX,America/New_York
TER,America/New_York
TSLA,America/New_York
TXN,America/New_York
TXT,America/New_York
TMO,America/New_York
TJX,America/New_York
TSCO,America/New_York
TT,America/New_York
TDG,America/New_York
TRV,America/New_York
TRMB,America/New_York
TFC,America/New_York
TYL,America/New_York
TSN,America/New_York
USB,America/New_York
UDR,America/New_York
ULTA,America/New_York
UNP,America/New_York
UAL,America/New_York
UPS,America/New_York
URI,America/New_York
UNH,America/New_York
UHS,America/New_York
VLO,America/New_York
VTR,America/New_York
VRSN,America/New_York
VRSK,America/New_York
VZ,America/New_York
VRTX,America/New_York
VFC,America/New_York
VTRS,America/New_York
VICI,America/New_York
V,America/New_York
VNO,America/New_York
VMC,America/New_York
WAB,America/New_York
WBA,America/New_York
WMT,America/New_York
WBD,America/New_York
WM,America/New_York
WAT,America/New_York
WEC,America/New_York
WFC,America/New_York
WELL,America/New_York
WST,America/New_York
WDC,America/New_York
WRK,America/New_York
WY,America/New_York
WHR,America/New_York
WMB,America/New_York
WTW,America/New_York
GWW,America/New_York
WYNN,America/New_York
XEL,America/New_York
XYL,America/New_York
YUM,America/New_York
ZBRA,America/New_York
ZBH,America/New_York
ZION,America/New_York
ZTS,America/New_York
